Topic/Chapter Name,Video Description,Video URL
METHODS OF DIFFERENTIATION,Class 17,https://www.youtube.com/watch?v=hIiooMWirNE&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=72
APPLICATIONS OF DERIVATIVES,APPLICATIONS OF DERIVATIVES Class 1,https://www.youtube.com/watch?v=uZ-4vf7lWfE&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=93
APPLICATIONS OF DERIVATIVES,TANGENTS AND NORMALS Class 1,https://www.youtube.com/watch?v=JJqSa9qJUNU&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=81
APPLICATIONS OF DERIVATIVES,TANGENTS AND NORMALS Class 2,https://www.youtube.com/watch?v=SPa2-XFAO2Q&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=79
APPLICATIONS OF DERIVATIVES,TANGENTS AND NORMALS Class 2,https://www.youtube.com/watch?v=hcn6-Vy3Y24&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=90
APPLICATIONS OF DERIVATIVES,TANGENTS AND NORMALS Class 3,https://www.youtube.com/watch?v=jChueNqduHs&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=78
APPLICATIONS OF DERIVATIVES,Maxima and Minima - Global Maxima Class 3,https://www.youtube.com/watch?v=gYNsW7EQFQc&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=92
APPLICATIONS OF DERIVATIVES,Maxima and Minima Class 4,https://www.youtube.com/watch?v=1K1hHxETaak&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=77
APPLICATIONS OF DERIVATIVES,Maxima and Minima Class 5,https://www.youtube.com/watch?v=-5FqMbycKsw&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=82
APPLICATIONS OF DERIVATIVES,Class 2,https://www.youtube.com/watch?v=0IWydAQy2Ro&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=83
Limits,Class 4,https://www.youtube.com/watch?v=vopNds9zj08&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=16
Limits,Class 5,https://www.youtube.com/watch?v=BcD_seY3DlM&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=15
Unit 8 - Limits and Continuity,Class 6 ,https://www.youtube.com/watch?v=QeqfYWjQTVA&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=12
2D GEOMETRY,Homosinisation,https://www.youtube.com/watch?v=JRpMmJmQLTM&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=17
Straight Lines,Theorem I,https://www.youtube.com/watch?v=PqvOzEO9AG4&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=23
Straight Lines,THEOREM II,https://www.youtube.com/watch?v=HH050G7MywU&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=21
Pair of STRAIGHT LINES,Pair of Straight Lines,https://www.youtube.com/watch?v=-xJ22dmhRJ8&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=57
Pair of STRAIGHT LINES,Pair of lines - Second degree General Equation,https://www.youtube.com/watch?v=-nPcBWn7_O8&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=54
Pair of STRAIGHT LINES,class 3,https://www.youtube.com/watch?v=zeYQLs5SYFk&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=51
PAIR OF STRAIGHT LINES,Solved Problem,https://www.youtube.com/watch?v=bAhieN49vKg&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=18
Straight Lines,The Equation of a Straight line,https://www.youtube.com/watch?v=sWHFLDtj4rw&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=20
Straight Lines,General form of a straight line,https://www.youtube.com/watch?v=FgF7CxOU5CI&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=19
Straight Lines,Intercepts,https://www.youtube.com/watch?v=DcEmBK8yWfw&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=25
Straight Lines,Intercepts 1,https://www.youtube.com/watch?v=kvoDlWixp4E&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=27
Straight Lines,Concurrent Lines,https://www.youtube.com/watch?v=AYDJ9t1POkw&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=29
Straight Lines,Angle between Straight Lines,https://www.youtube.com/watch?v=RSiXpPyLCyY&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=26
Coordinate Geometry,Introduction,https://www.youtube.com/watch?v=rB2oIuT3Lxw&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=31
Locus,Equations of the Locus,https://www.youtube.com/watch?v=1wpHEnwdZLM&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=32
Locus,Equations of the Locus,https://www.youtube.com/watch?v=25kc3Q7PQUk&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=33
Caluculas - Limits and Continuity,"Intervals, Delta and Deleted Neighbourhood, Limit, Right and Left hand Limit",https://www.youtube.com/watch?v=5XKRAWQW-qo&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=53
Caluculas - Limits and Continuity,Limits and Continuity,https://www.youtube.com/watch?v=kaDUB_jJ7aM&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=34
LIMITS PROBLEM SOLVING AND SOLUTIONS,Problems & Solutions,https://www.youtube.com/watch?v=vNlC4lNniac&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=50
