Toipic/Chapter Name,Video Description,Video URL
Chemical Kinetics,Half Life - TM,https://www.youtube.com/watch?v=uu9rJHBeZNM&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=35
Chemical Kinetics,English Medium,https://www.youtube.com/watch?v=6GtsRu2ACKE&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=36
P Block Elements,Preparation Properties Of Oxygen 16th group,https://www.youtube.com/watch?v=P5FpGuTlUW0&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=37
P Block Elements,17th group question Answers,https://www.youtube.com/watch?v=DWW0c3Fl-5U&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=38
P Block Elements,Structures of Sulphur Tri oxide Sulphate ion,https://www.youtube.com/watch?v=duo9YlL27Cg&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=39
P Block Elements,Allotropes of Sulphur,https://www.youtube.com/watch?v=QUh0Kfl3L04&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=40
P Block Elements,Ammonia by Habers process,https://www.youtube.com/watch?v=IdbxzPj-OxY&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=41
P Block Elements,16th group Dioxides and Tri oxides of Sulphur,https://www.youtube.com/watch?v=kcWkPZmz3xM&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=42
P Block Elements,Electronic configuration and Oxidation states of 16th group elements,https://www.youtube.com/watch?v=_0O9Ohvbdl4&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=43
P Block Elements,17th group Preparation of chlorine and its properties,https://www.youtube.com/watch?v=T6MyK-NMNTk&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=44
P Block Elements,Preparation of Nitric acid by Ostwald's,https://www.youtube.com/watch?v=9s976_RF8Mw&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=45
P Block Elements,Very Short questions in 16th group,https://www.youtube.com/watch?v=eS-0CyNgZoM&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=46
P Block Elements,16th group Structures of Sulphur tetra Fluoride Hexe Fluoride,https://www.youtube.com/watch?v=SZyAhUXYi0I&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=47
P Block Elements,16th group Structures of Sulphur tetra Fluoride Hexe Fluoride,https://www.youtube.com/watch?v=_SXvRfdorkM&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=48
P Block Elements,18th group - Introduction And Structure Of XeF2,https://www.youtube.com/watch?v=84kz8MI-lBk&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=49
P Block Elements,Preparation And Structures Of Xenon Compounds,https://www.youtube.com/watch?v=cdOFbKgjT8U&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=50
Hallow Alkanes - Hallow Arens,SN1 & SN2 Reactions,https://www.youtube.com/watch?v=jf5EC9OKACg&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=51
Organic Chemistry,"Sand Mayer's, Gatter Mann's, Williamson Synthesis, Wurts, Wurtz Fitting Reaction - Part 1",https://www.youtube.com/watch?v=ffPZp_157-s&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=52
Organic Chemistry,"Friedal Crafts Alkylation, Dow's Process, Kolbey's, Reimer Tiemann Reaction Part 2",https://www.youtube.com/watch?v=Kw0yvlkc2dM&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=53
Organic Chemistry,"Gatter Mann- Koch, Cannizzaro's Reaction, CArbyl Amine Test, Aldol Condensation, Cross Aldol Condensation, HVZ Reaction - Clemensen Reduction Part 3",https://www.youtube.com/watch?v=3ktpDn1BvNo&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=54
Organic Chemistry,Preparation And Properties Of Phenol,https://www.youtube.com/watch?v=fQbRHTmjbyU&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=55
Organic Chemistry,Important Of Chemical Reactions In Halo Alkane's,https://www.youtube.com/watch?v=kz_t6f3sh_o&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=56
Coordinate Compounds,Introduction to Co-ordinate Compounds And Werner's Theory,https://www.youtube.com/watch?v=MFwX930pPmU&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=57
Coordinate Compounds,IUPAC Nomenclature Of Halo Compounds,https://www.youtube.com/watch?v=x0cA8vfK6xw&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=58
Coordinate Compounds,Naming Of Co - ordinate Compounds,https://www.youtube.com/watch?v=X0669CXxRVA&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=59
